,Institute Id,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank,Field
0,IR-E-U-0456,Indian Institute of Technology Madras,95.70,90.74,82.29,63.25,100.00,Chennai,Tamil Nadu,88.72,1,Engineering
1,IR-E-I-1074,Indian Institute of Technology Delhi,85.89,93.47,81.67,62.01,93.97,New Delhi,Delhi,85.74,2,Engineering
2,IR-E-U-0306,Indian Institute of Technology Bombay,87.97,84.81,87.06,59.13,85.04,Mumbai,Maharashtra,83.65,3,Engineering
3,IR-E-I-1075,Indian Institute of Technology Kanpur,91.77,76.34,88.08,59.18,78.49,Kanpur,Uttar Pradesh,81.82,4,Engineering
4,IR-E-U-0573,Indian Institute of Technology Kharagpur,85.26,77.56,79.82,64.24,74.57,Kharagpur,West Bengal,78.69,5,Engineering
5,IR-E-U-0560,Indian Institute of Technology Roorkee,76.06,76.57,85.82,63.92,60.98,Roorkee,Uttarakhand,75.44,6,Engineering
6,IR-E-U-0013,Indian Institute of Technology Hyderabad,88.02,61.39,79.20,54.39,61.98,Hyderabad,Telangana,72.31,7,Engineering
7,IR-E-U-0053,Indian Institute of Technology Guwahati,73.60,72.89,84.68,61.40,52.06,Guwahati,Assam,72.24,8,Engineering
8,IR-E-U-0467,National Institute of Technology Tiruchirappalli,73.26,57.64,78.69,64.76,66.54,Tiruchirappalli,Tamil Nadu,68.14,9,Engineering
9,IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,66.39,61.68,86.03,60.51,55.64,Varanasi,Uttar Pradesh,67.24,10,Engineering
10,IR-E-U-0391,Birla Institute of Technology  & Science -Pilani,82.07,56.41,81.04,60.41,32.29,Pilani,Rajasthan,67.02,11,Engineering
11,IR-E-U-0273,Indian Institute of Technology Indore,81.25,59.55,76.52,63.77,27.15,Indore,Madhya Pradesh,66.65,12,Engineering
12,IR-E-U-0357,National Institute of Technology Rourkela,83.55,59.25,76.89,61.74,22.37,Rourkela,Odisha,66.62,13,Engineering
13,IR-E-U-0473,S.R.M. Institute of Science and Technology,78.69,68.93,65.43,67.09,17.45,Chennai,Tamil Nadu,65.83,14,Engineering
14,IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),72.84,62.49,77.02,61.36,32.29,Dhanbad,Jharkhand,65.37,15,Engineering
15,IR-E-U-0490,Vellore Institute of Technology,66.77,67.60,72.22,61.01,43.97,Vellore,Tamil Nadu,65.25,16,Engineering
16,IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal ",75.38,51.80,78.11,62.49,45.70,Surathkal,Karnataka,64.59,17,Engineering
17,IR-E-U-0575,Jadavpur University,79.56,59.41,71.46,48.60,37.00,Kolkata,West Bengal,64.54,18,Engineering
18,IR-E-U-0064,Indian Institute of Technology Patna,79.24,55.04,78.40,63.95,21.73,Patna,Bihar,64.52,19,Engineering
19,IR-E-U-0439,Anna University,69.43,62.80,63.28,51.12,60.73,Chennai,Tamil Nadu,63.51,20,Engineering
20,IR-E-U-0263,National Institute of Technology Calicut,83.65,40.00,79.12,66.66,34.71,Kozhikode,Kerala,63.05,21,Engineering
21,IR-E-U-0363,Siksha `O` Anusandhan,85.34,43.83,70.48,73.26,24.03,Bhubaneswar,Odisha,62.58,22,Engineering
22,IR-E-U-0436,Amrita Vishwa Vidyapeetham,80.74,51.78,67.71,64.19,27.53,Coimbatore,Tamil Nadu,62.46,23,Engineering
23,IR-E-U-0108,Jamia Millia Islamia,67.50,59.18,78.28,67.19,20.43,New Delhi,Delhi,62.42,24,Engineering
24,IR-E-U-0139,Indian Institute of Technology Gandhinagar,85.82,41.07,74.62,63.82,29.36,Gandhinagar,Gujarat,62.31,25,Engineering
25,IR-E-U-0184,Indian Institute of Technology Mandi,81.90,42.61,78.29,68.77,21.95,Mandi,Himachal Pradesh,62.08,26,Engineering
26,IR-E-U-0395,Indian Institute of Technology Jodhpur,86.92,44.03,70.43,66.41,12.93,Jodhpur,Rajasthan,61.31,27,Engineering
27,IR-E-U-0025,National Institute of Technology Warangal,74.94,49.23,73.64,57.32,33.44,Warangal,Telangana,61.05,28,Engineering
28,IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),75.12,50.86,73.27,65.68,19.53,Patiala,Punjab,60.97,29,Engineering
29,IR-E-U-0098,Delhi Technological University,73.01,46.71,79.17,54.82,36.25,New Delhi,Delhi,60.85,30,Engineering
30,IR-E-U-0747,Chandigarh University,73.26,57.93,59.17,74.33,18.39,Mohali,Punjab,60.46,31,Engineering
31,IR-E-U-0378,Indian Institute of Technology Ropar,72.46,47.74,75.18,60.41,25.23,Rupnagar,Punjab,59.66,32,Engineering
32,IR-E-U-0458,Kalasalingam Academy of Research and Education,78.03,42.46,72.16,77.18,7.27,Krishnan Koil,Tamil Nadu,59.03,33,Engineering
33,IR-E-U-0496,Aligarh Muslim University,76.86,55.65,64.17,41.19,23.00,Aligarh,Uttar Pradesh,59.01,34,Engineering
34,IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),77.55,48.67,69.94,66.84,4.12,Vaddeswaram,Andhra Pradesh,58.95,35,Engineering
35,IR-E-U-0356,Kalinga Institute of Industrial Technology,78.64,47.76,60.32,77.29,10.76,Bhubaneswar,Odisha,58.79,36,Engineering
36,IR-E-U-0497,Amity University,66.68,65.39,62.04,59.02,6.04,Gautam Budh Nagar,Uttar Pradesh,58.53,37,Engineering
37,IR-E-U-0014,International Institute of Information Technology Hyderabad,75.84,43.22,70.72,63.32,22.58,Hyderabad,Telangana,58.45,38,Engineering
